inventory_number,notary
437,PALM MATHIJSZ
438,PALM MATHIJSZ
439,PALM MATHIJSZ
440,PALM MATHIJSZ
441,PALM MATHIJSZ
442,PALM MATHIJSZ
443,PALM MATHIJSZ
444,PALM MATHIJSZ
445,PALM MATHIJSZ
446,PALM MATHIJSZ
447,PALM MATHIJSZ
448,PALM MATHIJSZ
449,PALM MATHIJSZ
450,PALM MATHIJSZ
451,PALM MATHIJSZ
481A,PALM MATHIJSZ
481B,PALM MATHIJSZ
482A,PALM MATHIJSZ
492,JACOB JANSZ WESTFRISIUS
493,JACOB JANSZ WESTFRISIUS
494,JACOB JANSZ WESTFRISIUS
495,JACOB JANSZ WESTFRISIUS
496,JACOB JANSZ WESTFRISIUS
497,JACOB JANSZ WESTFRISIUS
498,JACOB JANSZ WESTFRISIUS
499,JACOB JANSZ WESTFRISIUS
500,JACOB JANSZ WESTFRISIUS
501,JACOB JANSZ WESTFRISIUS
502,JACOB JANSZ WESTFRISIUS
503,JACOB JANSZ WESTFRISIUS
504,JACOB JANSZ WESTFRISIUS
505,JACOB JANSZ WESTFRISIUS
506,JACOB JANSZ WESTFRISIUS
507,JACOB JANSZ WESTFRISIUS
508,JACOB JANSZ WESTFRISIUS
509,JACOB JANSZ WESTFRISIUS
510,JACOB JANSZ WESTFRISIUS
511,JACOB JANSZ WESTFRISIUS
512,JACOB JANSZ WESTFRISIUS
513,JACOB JANSZ WESTFRISIUS
514,JACOB JANSZ WESTFRISIUS
515,JACOB JANSZ WESTFRISIUS
516,JACOB JANSZ WESTFRISIUS
517,JACOB JANSZ WESTFRISIUS
518,JACOB JANSZ WESTFRISIUS
519,JACOB JANSZ WESTFRISIUS
520,JACOB JANSZ WESTFRISIUS
521,JACOB JANSZ WESTFRISIUS
522,JACOB JANSZ WESTFRISIUS
523,JACOB JANSZ WESTFRISIUS
524,JACOB JANSZ WESTFRISIUS
525,JACOB JANSZ WESTFRISIUS
526,JACOB JANSZ WESTFRISIUS
562A,JACOB JANSZ WESTFRISIUS
567,LAURENS LAMBERTI
568,LAURENS LAMBERTI
569,LAURENS LAMBERTI
570,LAURENS LAMBERTI
571,LAURENS LAMBERTI
572,LAURENS LAMBERTI
573,LAURENS LAMBERTI
574,LAURENS LAMBERTI
575,LAURENS LAMBERTI
576,LAURENS LAMBERTI
577,LAURENS LAMBERTI
578,LAURENS LAMBERTI
579,LAURENS LAMBERTI
580,LAURENS LAMBERTI
581A,LAURENS LAMBERTI
581B,LAURENS LAMBERTI
582,LAURENS LAMBERTI
583,LAURENS LAMBERTI
584,LAURENS LAMBERTI
585,LAURENS LAMBERTI
586,LAURENS LAMBERTI
587,LAURENS LAMBERTI
588,LAURENS LAMBERTI
589,LAURENS LAMBERTI
590,LAURENS LAMBERTI
591,LAURENS LAMBERTI
592,LAURENS LAMBERTI
593,LAURENS LAMBERTI
594,LAURENS LAMBERTI
595,LAURENS LAMBERTI
596,LAURENS LAMBERTI
597,LAURENS LAMBERTI
598,LAURENS LAMBERTI
599,LAURENS LAMBERTI
600,LAURENS LAMBERTI
601,LAURENS LAMBERTI
602,LAURENS LAMBERTI
603,LAURENS LAMBERTI
604,LAURENS LAMBERTI
605,LAURENS LAMBERTI
606,LAURENS LAMBERTI
607,LAURENS LAMBERTI
608,LAURENS LAMBERTI
609,LAURENS LAMBERTI
610,LAURENS LAMBERTI
651,JERONIMUS VAN DE KETEL
652,JERONIMUS VAN DE KETEL
653,JERONIMUS VAN DE KETEL
653A,JERONIMUS VAN DE KETEL
765,JOHAN DIRKSZ. VERHIJ
766,JOHAN DIRKSZ. VERHIJ
767,JOHAN DIRKSZ. VERHIJ
768A,JOHAN DIRKSZ. VERHIJ
768B,JOHAN DIRKSZ. VERHIJ
769,JOHAN DIRKSZ. VERHIJ
770,JOHAN DIRKSZ. VERHIJ
771,JOHAN DIRKSZ. VERHIJ
772,JOHAN DIRKSZ. VERHIJ
773,JOHAN DIRKSZ. VERHIJ
774,JOHAN DIRKSZ. VERHIJ
775,JOHAN DIRKSZ. VERHIJ
776,JOHAN DIRKSZ. VERHIJ
777,JOHAN DIRKSZ. VERHIJ
778,JOHAN DIRKSZ. VERHIJ
779,JOHAN DIRKSZ. VERHIJ
858,JACOB VAN ZWIETEN
859,JACOB VAN ZWIETEN
860,JACOB VAN ZWIETEN
861,JACOB VAN ZWIETEN
862,JACOB VAN ZWIETEN
863,JACOB VAN ZWIETEN
864,JACOB VAN ZWIETEN
865,JACOB VAN ZWIETEN
866,JACOB VAN ZWIETEN
867,JACOB VAN ZWIETEN
868,JACOB VAN ZWIETEN
869,JACOB VAN ZWIETEN
870,JACOB VAN ZWIETEN
871,JACOB VAN ZWIETEN
872,JACOB VAN ZWIETEN
873,JACOB VAN ZWIETEN
874,JACOB VAN ZWIETEN
875,JACOB VAN ZWIETEN
876,JACOB VAN ZWIETEN
877,JACOB VAN ZWIETEN
878,JACOB VAN ZWIETEN
879,JACOB VAN ZWIETEN
880,JACOB VAN ZWIETEN
881,JACOB VAN ZWIETEN
882,JACOB VAN ZWIETEN
988,JAN BOSCH
989,JAN BOSCH
990,JAN BOSCH
991A,JAN BOSCH
991B,JAN BOSCH
992A,JAN BOSCH
992B,JAN BOSCH
993A,JAN BOSCH
993B,JAN BOSCH
994A,JAN BOSCH
994B,JAN BOSCH
1157,JOOST VAN DE VEN
1158,JOOST VAN DE VEN
1159,JOOST VAN DE VEN
1160,JOOST VAN DE VEN
1161,JOOST VAN DE VEN
1162,JOOST VAN DE VEN
1163,JOOST VAN DE VEN
1164,JOOST VAN DE VEN
1165,JOOST VAN DE VEN
1166,JOOST VAN DE VEN
1167,JOOST VAN DE VEN
1168,JOOST VAN DE VEN
1169,JOOST VAN DE VEN
1170,JAN DE VOS
1171,JAN DE VOS
1172,JAN DE VOS
1173,JAN DE VOS
1174,JAN DE VOS
1175,JAN DE VOS
1176,JAN DE VOS
1177,JAN DE VOS
1178,JAN DE VOS
1179,JAN DE VOS
1180,JAN DE VOS
1181,JAN DE VOS
